jump_n_m,sigma_neck_MPa,P_kN,elastic_def_um,def_Ls_um,damage,kappa
3.2320e-09,2.5700,30.8396,7.2610,7.2642,0.2048,3.2320e-09
3.2709e-09,2.5700,30.8395,7.2610,7.2643,0.2143,3.2709e-09
3.3098e-09,2.5700,30.8395,7.2610,7.2643,0.2235,3.3098e-09
3.3488e-09,2.5700,30.8395,7.2610,7.2643,0.2326,3.3488e-09
3.3877e-09,2.5700,30.8395,7.2610,7.2644,0.2414,3.3877e-09
3.4267e-09,2.5700,30.8394,7.2610,7.2644,0.2500,3.4267e-09
3.4656e-09,2.5700,30.8394,7.2610,7.2644,0.2584,3.4656e-09
3.5045e-09,2.5699,30.8394,7.2610,7.2645,0.2667,3.5045e-09
3.5435e-09,2.5699,30.8394,7.2610,7.2645,0.2747,3.5435e-09
3.5824e-09,2.5699,30.8393,7.2610,7.2645,0.2826,3.5824e-09
3.6214e-09,2.5699,30.8393,7.2610,7.2646,0.2903,3.6214e-09
3.6603e-09,2.5699,30.8393,7.2609,7.2646,0.2979,3.6603e-09
3.6992e-09,2.5699,30.8393,7.2609,7.2646,0.3053,3.6992e-09
3.7382e-09,2.5699,30.8392,7.2609,7.2647,0.3125,3.7382e-09
3.7771e-09,2.5699,30.8392,7.2609,7.2647,0.3196,3.7771e-09
3.8161e-09,2.5699,30.8392,7.2609,7.2647,0.3265,3.8161e-09
3.8550e-09,2.5699,30.8392,7.2609,7.2648,0.3334,3.8550e-09
1.5902e-06,2.4854,29.8248,7.0221,8.6123,0.9984,1.5902e-06
3.1765e-06,2.4036,28.8438,6.7911,9.9676,0.9992,3.1765e-06
4.7629e-06,2.3246,27.8950,6.5677,11.3306,0.9995,4.7629e-06
6.3492e-06,2.2481,26.9775,6.3517,12.7009,0.9996,6.3492e-06
7.9355e-06,2.1742,26.0902,6.1428,14.0783,0.9997,7.9355e-06
9.5219e-06,2.1027,25.2320,5.9407,15.4626,0.9998,9.5219e-06
1.1108e-05,2.0335,24.4021,5.7453,16.8536,0.9998,1.1108e-05
